label,Throughput,errors,elapsed,Latency
14:00:31,"13,51351",0.0,74.0,2.0
14:00:32,"31,25000",0.0,32.0,1.0
14:00:34,"27,95426",0.0,20.227272727272727,0.6818181818181818
14:00:35,"5,01002",0.0,48.8,1.8
14:00:36,"27,02703",0.0,37.0,1.0
14:00:37,"14,70588",0.0,68.0,2.0
14:00:38,"18,51852",0.0,54.0,2.0
14:00:40,"27,77778",0.0,20.863636363636363,1.0454545454545454
14:00:41,"5,15996",0.0,43.6,1.6
14:00:42,"15,15152",0.0,66.0,2.0
14:00:43,"26,31579",0.0,38.0,1.0
14:00:44,"17,85714",0.0,56.0,2.0
14:00:46,"28,31403",0.0,22.272727272727273,0.7727272727272727
14:00:47,"5,07614",0.0,47.4,1.0
14:00:48,"15,87302",0.0,63.0,2.0
14:00:49,"16,39344",0.0,61.0,2.0
14:00:50,"34,48276",0.0,29.0,2.0
14:00:52,"28,06122",0.0,30.40909090909091,1.4090909090909092
14:00:53,"5,04032",0.0,48.2,1.4
14:00:54,"38,46154",0.0,26.0,1.0
14:00:55,"26,31579",0.0,38.0,1.0
14:00:56,"18,51852",0.0,54.0,2.0
14:00:58,"28,09706",0.0,20.59090909090909,0.8636363636363636
14:00:59,"5,18135",0.0,44.0,1.6
14:01:00,"17,54386",0.0,57.0,3.0
14:01:01,"12,34568",0.0,81.0,2.0
14:01:02,"16,66667",0.0,60.0,2.0
14:01:04,"27,91878",0.0,25.90909090909091,1.1818181818181819
14:01:05,"5,06586",0.0,46.2,1.6
14:01:06,"26,31579",0.0,38.0,1.0
14:01:07,"13,69863",0.0,73.0,2.0
14:01:08,"16,66667",0.0,60.0,2.0
14:01:10,"27,98982",0.0,29.227272727272727,1.2727272727272727
14:01:11,"5,23013",0.0,40.2,1.4
14:01:12,"12,98701",0.0,77.0,5.0
14:01:13,"43,47826",0.0,23.0,1.0
14:01:14,"38,46154",0.0,26.0,1.0
14:01:16,"27,56892",0.0,21.454545454545453,1.0909090909090908
14:01:17,"5,19751",0.0,26.0,1.2
14:01:18,"25,00000",0.0,40.0,1.0
14:01:19,"25,00000",0.0,40.0,1.0
14:01:20,"43,47826",0.0,23.0,1.0
14:01:22,"27,98982",0.0,21.863636363636363,1.2727272727272727
14:01:23,"5,17063",0.0,30.6,1.2
14:01:24,"24,39024",0.0,41.0,1.0
14:01:25,"20,83333",0.0,48.0,1.0
14:01:26,"19,23077",0.0,52.0,2.0
14:01:28,"28,02548",0.0,21.40909090909091,1.0909090909090908
14:01:29,"5,17063",0.0,35.6,1.4
14:01:30,"40,00000",0.0,25.0,1.0
14:01:31,"31,25000",0.0,32.0,2.0
14:01:32,"24,39024",0.0,41.0,1.0
14:01:34,"28,02548",0.0,20.5,0.7272727272727273
14:01:35,"5,19751",0.0,37.4,1.4
14:01:36,"23,25581",0.0,43.0,2.0
14:01:37,"20,00000",0.0,50.0,2.0
14:01:38,"41,66667",0.0,24.0,1.0
14:01:40,"27,95426",0.0,21.636363636363637,1.1363636363636365
14:01:41,"5,10204",0.0,36.4,1.6
14:01:42,"37,03704",0.0,27.0,1.0
14:01:43,"20,40816",0.0,49.0,1.0
14:01:44,"21,27660",0.0,47.0,2.0
14:01:46,"27,81290",0.0,20.863636363636363,1.2272727272727273
14:01:47,"5,20833",0.0,39.4,1.6
14:01:48,"20,83333",0.0,48.0,1.0
14:01:49,"35,71429",0.0,28.0,1.0
14:01:50,"17,85714",0.0,56.0,2.0
14:01:52,"27,88340",0.0,19.681818181818183,0.8181818181818182
14:01:53,"5,13347",0.0,37.8,2.2
14:01:54,"19,60784",0.0,51.0,2.0
14:01:55,"17,85714",0.0,56.0,2.0
14:01:56,"45,45455",0.0,22.0,1.0
14:01:58,"27,88340",0.0,21.0,1.1818181818181819
14:01:59,"5,12821",0.0,36.4,1.2
14:02:00,"45,45455",0.0,22.0,1.0
14:02:01,"23,80952",0.0,42.0,1.0
14:02:02,"29,41176",0.0,34.0,1.0
14:02:04,"27,95426",0.0,18.363636363636363,0.9545454545454546
14:02:05,"5,19211",0.0,29.0,1.0
14:02:06,"27,77778",0.0,36.0,2.0
14:02:07,"43,47826",0.0,23.0,1.0
14:02:08,"43,47826",0.0,23.0,2.0
14:02:10,"27,88340",0.0,19.59090909090909,0.9545454545454546
14:02:11,"5,20833",0.0,27.2,1.0
14:02:12,"21,73913",0.0,46.0,2.0
14:02:13,"21,27660",0.0,47.0,1.0
14:02:14,"33,33333",0.0,30.0,2.0
14:02:16,"27,84810",0.0,22.181818181818183,1.1818181818181819
14:02:17,"5,19751",0.0,37.6,1.4
14:02:18,"40,00000",0.0,25.0,1.0
14:02:19,"22,22222",0.0,45.0,2.0
14:02:20,"17,54386",0.0,57.0,2.0
14:02:22,"27,91878",0.0,20.0,0.8181818181818182
14:02:23,"5,23013",0.0,36.4,1.2
14:02:24,"19,23077",0.0,52.0,2.0
14:02:25,"38,46154",0.0,26.0,2.0
14:02:26,"38,46154",0.0,26.0,1.0
14:02:28,"28,20513",0.0,23.636363636363637,1.2272727272727273
14:02:29,"5,10204",0.0,34.4,1.4
14:02:30,"21,27660",0.0,47.0,2.0
14:02:31,"21,73913",0.0,46.0,2.0
14:02:32,"47,61905",0.0,21.0,1.0
14:02:34,"27,67296",0.0,22.863636363636363,0.9090909090909091
14:02:35,"5,04541",0.0,39.0,1.2
14:02:36,"33,33333",0.0,30.0,1.0
14:02:37,"20,83333",0.0,48.0,1.0
14:02:38,"29,41176",0.0,34.0,1.0
14:02:40,"28,16901",0.0,23.772727272727273,1.0454545454545454
14:02:41,"5,19211",0.0,38.4,1.0
14:02:42,"18,86792",0.0,53.0,2.0
14:02:43,"40,00000",0.0,25.0,1.0
14:02:44,"21,27660",0.0,47.0,1.0
14:02:46,"27,98982",0.0,21.545454545454547,1.0
14:02:47,"5,14403",0.0,37.6,1.4
14:02:48,"28,57143",0.0,35.0,1.0
14:02:49,"25,64103",0.0,39.0,1.0
14:02:50,"37,03704",0.0,27.0,0.0
14:02:52,"27,88340",0.0,24.681818181818183,1.3636363636363635
14:02:53,"5,16529",0.0,39.0,1.8
14:02:54,"40,00000",0.0,25.0,1.0
14:02:55,"21,27660",0.0,47.0,2.0
14:02:56,"23,80952",0.0,42.0,1.0
14:02:58,"27,19407",0.0,20.954545454545453,1.0454545454545454
14:02:59,"5,15996",0.0,35.6,1.2
14:03:00,"17,85714",0.0,56.0,1.0
14:03:01,"38,46154",0.0,26.0,1.0
14:03:02,"23,25581",0.0,43.0,1.0
14:03:04,"28,02548",0.0,19.863636363636363,1.0
14:03:05,"5,09684",0.0,33.8,1.2
14:03:06,"19,23077",0.0,52.0,2.0
14:03:07,"34,48276",0.0,29.0,1.0
14:03:08,"29,41176",0.0,34.0,1.0
14:03:10,"27,81290",0.0,22.636363636363637,0.9545454545454546
14:03:11,"5,21376",0.0,34.6,1.6
14:03:12,"31,25000",0.0,32.0,1.0
14:03:13,"27,02703",0.0,37.0,1.0
14:03:14,"20,83333",0.0,48.0,2.0
14:03:16,"27,95426",0.0,18.40909090909091,1.0454545454545454
14:03:17,"5,23560",0.0,27.8,1.2
14:03:18,"20,00000",0.0,50.0,2.0
14:03:19,"35,71429",0.0,28.0,1.0
14:03:20,"14,70588",0.0,68.0,2.0
14:03:22,"27,88340",0.0,26.09090909090909,1.2272727272727273
14:03:23,"5,12295",0.0,34.8,1.2
14:03:24,"17,54386",0.0,57.0,2.0
14:03:25,"21,27660",0.0,47.0,2.0
14:03:26,"43,47826",0.0,23.0,1.0
14:03:28,"27,36318",0.0,24.045454545454547,1.5454545454545454
14:03:29,"5,08647",0.0,37.6,1.2
14:03:30,"38,46154",0.0,26.0,1.0
14:03:31,"28,57143",0.0,35.0,2.0
14:03:32,"27,77778",0.0,36.0,1.0
14:03:34,"27,09360",0.0,21.227272727272727,0.8636363636363636
14:03:35,"5,25210",0.0,41.0,1.4
14:03:36,"15,38462",0.0,65.0,3.0
14:03:37,"35,71429",0.0,28.0,1.0
14:03:38,"20,00000",0.0,50.0,2.0
14:03:40,"27,77778",0.0,21.09090909090909,0.9090909090909091
14:03:41,"5,09684",0.0,39.4,1.6
14:03:42,"43,47826",0.0,23.0,1.0
14:03:43,"14,49275",0.0,69.0,2.0
14:03:44,"37,03704",0.0,27.0,1.0
14:03:46,"27,84810",0.0,27.818181818181817,1.5454545454545454
14:03:47,"5,09684",0.0,35.6,1.2
14:03:48,"31,25000",0.0,32.0,2.0
14:03:49,"17,24138",0.0,58.0,2.0
14:03:50,"14,92537",0.0,67.0,3.0
14:03:52,"27,91878",0.0,20.181818181818183,0.8181818181818182
14:03:53,"5,18135",0.0,44.0,1.6
14:03:54,"14,70588",0.0,68.0,2.0
14:03:55,"37,03704",0.0,27.0,2.0
14:03:56,"25,64103",0.0,39.0,1.0
14:03:58,"27,77778",0.0,23.045454545454547,1.5
14:03:59,"4,86855",0.0,54.2,1.8
14:04:00,"20,83333",0.0,48.0,2.0
14:04:01,"15,87302",0.0,63.0,2.0
14:04:02,"17,85714",0.0,56.0,2.0
14:04:04,"28,16901",0.0,21.045454545454547,0.9090909090909091
14:04:05,"5,19211",0.0,44.0,1.6
14:04:06,"41,66667",0.0,24.0,1.0
14:04:07,"35,71429",0.0,28.0,1.0
14:04:08,"18,51852",0.0,54.0,2.0
14:04:10,"27,88340",0.0,20.818181818181817,1.1363636363636365
14:04:11,"5,09684",0.0,46.0,1.6
14:04:12,"40,00000",0.0,25.0,1.0
